"MEMBER_ID","BIN","CARD_ID"
"902000","902000",1
"970499","970499",1
"971122","971122",1
"180906","513892",1
"180906","513094",1
"180906","423865",1
"970448","528643",1
"970448","542172",1
"970448","546278",1
"970448","357112",1
"970448","356505",1
"970463","970463",1
"981957","454119",1
"981957","471249",1
"981957","406453",1
"981957","454107",1
"981957","405280",1
"981957","478668",1
"981957","419834",1
"796500","796500",1
"963399","963399",1
"555666","555666",1
"925000","925000",1
"906000","906000",1
"971005","971005",1
"971111","971111",1
"180906","531828",1
"970426","527663",1
"963368","963368",1
"970452","403686",1
"970452","356438",1
"970412","517454",1
"157979","554627",1
"970442","412472",1
"981957","523975",1
"970406","123456",1
"970406","386838",1
"970406","068372",1
"970406","521317",1
"386838","123456",1
"970406","241546",1
"198748","123456",1
"970406","300000",1
"970406","198748",1
"970406","494069",1
"949406","123456",1
"970498","123456",1
"970406","107449",1
"970406","129837",1
"970406","949406",1
"970406","970498",1
"970406","032010",1
"970406","124348",1
"963368","521251",1
"970406","040304",1
"970406","912983",1
"970406","019992",1
"970406","294069",1
"970406","455464",1
"970406","094010",1
"970406","521889",1
"970406","012983",1
"970406","555616",1
"970406","111111",1
"970437","559260",1
"970437","523472",1
"963688","963688",1
"686868","452404",1
"157979","428472",1
"970406","528976",1
"970452","403687",1
"970406","887073",1
"970406","001100",1
"970406","463720",1
"970412","536708",1
"180906","404169",1
"970458","531922",1
"970458","534763",1
"970458","546079",1
"970458","437374",1
"970458","455517",1
"970458","437373",1
