TIDB,,,,ORA,,,,Compare
trace,ISSUER_FE,SEQUENCE_IN_MONTH,,TRACE,ISSUER_FE,SEQUENCE_IN_MONTH,,
2473887,130017,11261,,2473887,130017,11261,,0
2476524,130017,11240,,2476524,130017,11240,,0
2476723,130017,11144,,2476723,130017,11144,,0
2477438,130017,11172,,2477438,130017,11172,,0
2478422,130017,11040,,2478422,130017,11040,,0
2479043,130017,11154,,2479043,130017,11154,,0
2479161,130017,11008,,2479161,130017,11008,,0
2481157,130017,11266,,2481157,130017,11266,,0
2481871,130017,11041,,2481871,130017,11041,,0
2482426,130017,11080,,2482426,130017,11080,,0
2484081,130017,11200,,2484081,130017,11200,,0
2484723,130017,11243,,2484723,130017,11243,,0
2492604,130020,187,,2492604,130020,187,,0
2494270,130017,11062,,2494270,130017,11062,,0
2494698,130017,11231,,2494698,130017,11231,,0
2494999,130017,11067,,2494999,130017,11067,,0
2496282,130017,11206,,2496282,130017,11206,,0
2498236,130017,11135,,2498236,130017,11135,,0
2500163,130017,11195,,2500163,130017,11195,,0
2504271,130017,11047,,2504271,130017,11047,,0
2504516,130017,11242,,2504516,130017,11242,,0
2507312,130017,11171,,2507312,130017,11171,,0
2516638,130017,11279,,2516638,130017,11279,,0
2518095,130017,11109,,2518095,130017,11109,,0
2522473,130017,11212,,2522473,130017,11212,,0
2524383,130017,10979,,2524383,130017,10979,,0
2528822,130017,11120,,2528822,130017,11120,,0
2530721,130017,11164,,2530721,130017,11164,,0
2534740,130017,11031,,2534740,130017,11031,,0
2534791,130017,10963,,2534791,130017,10963,,0
2536385,130017,11236,,2536385,130017,11236,,0
2538996,130017,11187,,2538996,130017,11187,,0
2542158,980478,,,2542158,980478,,,0
2544271,130017,11129,,2544271,130017,11129,,0
2545602,130017,11063,,2545602,130017,11063,,0
2546803,130017,10971,,2546803,130017,10971,,0
2560328,130017,11186,,2560328,130017,11186,,0
2564111,130017,11277,,2564111,130017,11277,,0
2567582,130017,11121,,2567582,130017,11121,,0
2570711,130017,11280,,2570711,130017,11280,,0
2572383,130017,11113,,2572383,130017,11113,,0
2573076,130017,11020,,2573076,130017,11020,,0
2573389,130017,10956,,2573389,130017,10956,,0
2576996,130017,11210,,2576996,130017,11210,,0
2579123,130017,10990,,2579123,130017,10990,,0
2594365,130017,11015,,2594365,130017,11015,,0
2601249,130017,11004,,2601249,130017,11004,,0
2601515,130017,11115,,2601515,130017,11115,,0
2603736,130017,11178,,2603736,130017,11178,,0
2605563,980478,,,2605563,980478,,,0
2611940,130017,11125,,2611940,130017,11125,,0
2617265,130017,11203,,2617265,130017,11203,,0
2622537,130017,11247,,2622537,130017,11247,,0
2623440,130017,11081,,2623440,130017,11081,,0
2623623,130017,11166,,2623623,130017,11166,,0
2625218,130017,11090,,2625218,130017,11090,,0
2627580,130017,11162,,2627580,130017,11162,,0
2627646,130017,11169,,2627646,130017,11169,,0
2630317,130017,10987,,2630317,130017,10987,,0
2633117,130017,11021,,2633117,130017,11021,,0
2636289,130017,11023,,2636289,130017,11023,,0
2638193,130017,10964,,2638193,130017,10964,,0
2641379,130017,11168,,2641379,130017,11168,,0
2655385,130017,11228,,2655385,130017,11228,,0
2656886,130017,10969,,2656886,130017,10969,,0
2660265,130017,11249,,2660265,130017,11249,,0
2663317,130017,11052,,2663317,130017,11052,,0
2663678,130017,11114,,2663678,130017,11114,,0
2672631,130017,11140,,2672631,130017,11140,,0
2674668,130017,11034,,2674668,130017,11034,,0
2675277,130017,10999,,2675277,130017,10999,,0
2678004,130017,11016,,2678004,130017,11016,,0
2681317,130017,11079,,2681317,130017,11079,,0
2690643,980478,,,2690643,980478,,,0
2691410,130017,11093,,2691410,130017,11093,,0
2698185,130017,11045,,2698185,130017,11045,,0
2698930,130017,11099,,2698930,130017,11099,,0
2700385,130017,11165,,2700385,130017,11165,,0
2701884,130017,11110,,2701884,130017,11110,,0
2703018,980478,,,2703018,980478,,,0
2703942,130017,11018,,2703942,130017,11018,,0
2705487,130017,11208,,2705487,130017,11208,,0
2706310,130017,10950,,2706310,130017,10950,,0
2707144,130020,13399,,2707144,130020,13399,,0
2707438,130017,10989,,2707438,130017,10989,,0
2714246,130017,11211,,2714246,130017,11211,,0
2720298,130017,10972,,2720298,130017,10972,,0
2722059,130017,11148,,2722059,130017,11148,,0
2729368,130017,10994,,2729368,130017,10994,,0
2730229,130017,11107,,2730229,130017,11107,,0
2735767,130017,10952,,2735767,130017,10952,,0
2741355,130017,11250,,2741355,130017,11250,,0
2744657,130017,11245,,2744657,130017,11245,,0
2748288,130017,11170,,2748288,130017,11170,,0
2752654,130017,11026,,2752654,130017,11026,,0
2754535,130017,11151,,2754535,130017,11151,,0
2760558,130017,11074,,2760558,130017,11074,,0
2761121,130017,11176,,2761121,130017,11176,,0
2764216,130017,11226,,2764216,130017,11226,,0
2766963,130017,11027,,2766963,130017,11027,,0
2767191,130017,11070,,2767191,130017,11070,,0
2767852,130017,11001,,2767852,130017,11001,,0
2768630,130017,10961,,2768630,130017,10961,,0
2770001,130017,11278,,2770001,130017,11278,,0
2775883,130017,11270,,2775883,130017,11270,,0
2776651,130017,11036,,2776651,130017,11036,,0
2777245,130017,11068,,2777245,130017,11068,,0
2781186,130017,11248,,2781186,130017,11248,,0
2783155,130017,11201,,2783155,130017,11201,,0
2783833,130017,11105,,2783833,130017,11105,,0
2785305,130017,11191,,2785305,130017,11191,,0
2789335,130017,11029,,2789335,130017,11029,,0
2796033,130017,11103,,2796033,130017,11103,,0
2797997,130017,11088,,2797997,130017,11088,,0
2798175,130017,11184,,2798175,130017,11184,,0
2798630,130017,11132,,2798630,130017,11132,,0
2799534,130017,11229,,2799534,130017,11229,,0
2804888,130017,11230,,2804888,130017,11230,,0
2805544,130017,11133,,2805544,130017,11133,,0
2809838,130017,11010,,2809838,130017,11010,,0
2810386,130017,11222,,2810386,130017,11222,,0
2819730,130017,11244,,2819730,130017,11244,,0
2824627,130017,11122,,2824627,130017,11122,,0
2827672,130017,11192,,2827672,130017,11192,,0
2828483,130017,11262,,2828483,130017,11262,,0
2829144,130017,11199,,2829144,130017,11199,,0
2833555,130017,10958,,2833555,130017,10958,,0
2834565,130017,11155,,2834565,130017,11155,,0
