"ISSUER_RP","ISSUER_RP","FEE_PACKAGE_TYPE","INS_TYPE_FEE"
970448.000000,970448.000000,,
970448.000000,970448.000000,,
970448.000000,970448.000000,,
970448.000000,970448.000000,,
970448.000000,970448.000000,,
970448.000000,970448.000000,,
970448.000000,970448.000000,,
970448.000000,970448.000000,,
970448.000000,970448.000000,,
970448.000000,970448.000000,,
970458.000000,970458.000000,,
970466.000000,970466.000000,,
970468.000000,970468.000000,,
970488.000000,970488.000000,,
970488.000000,970488.000000,,
970488.000000,970488.000000,,
970488.000000,970488.000000,,
970488.000000,970488.000000,,
970488.000000,970488.000000,,
970488.000000,970488.000000,,
970488.000000,970488.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,,
980478.000000,980478.000000,G2_2022,
980478.000000,980478.000000,G2_2022,
980478.000000,980478.000000,G2_2022,
980478.000000,980478.000000,G2_2022,
980478.000000,980478.000000,G2_2022,
980478.000000,980478.000000,G2_2022,
980478.000000,980478.000000,G2_2022,
980478.000000,980478.000000,G2_2022,
980478.000000,980478.000000,G2_2022,
980478.000000,980478.000000,G2_2022,
981957.000000,981957.000000,,
981957.000000,981957.000000,,
